j,t,mu,f,delta f,GPD type,flavor
0,-0.01,2,2.918005522202229,0.14590027611011144,0,S
0,-0.11,2,2.2977408074361847,0.11488704037180923,0,S
0,-0.21000000000000002,2,1.8634735619727758,0.09317367809863879,0,S
0,-0.31000000000000005,2,1.5415125648387886,0.07707562824193943,0,S
0,-0.41000000000000003,2,1.2965387139283937,0.06482693569641969,0,S
0,-0.51,2,1.1057509533913878,0.05528754766956939,0,S
0,-0.6100000000000001,2,0.954101799069413,0.04770508995347065,0,S
0,-0.7100000000000001,2,0.8314417118336903,0.041572085591684516,0,S
0,-0.81,2,0.7307451476049578,0.03653725738024789,0,S
0,-0.91,2,0.6470223255747007,0.032351116278735034,0,S
0,-1.01,2,0.5766444243013419,0.028832221215067094,0,S
0,-1.11,2,0.5169159782270071,0.025845798911350353,0,S
0,-1.2100000000000002,2,0.4657970733805994,0.02328985366902997,0,S
0,-1.31,2,0.4217183132403013,0.021085915662015065,0,S
0,-1.4100000000000001,2,0.38345464330424905,0.019172732165212453,0,S
0,-1.51,2,0.3500374292055082,0.01750187146027541,0,S
0,-0.01,2,0.9737594458142853,0.04868797229071427,0,NS
0,-0.11,2,0.7843991214783738,0.03921995607391869,0,NS
0,-0.21000000000000002,2,0.658226186077993,0.03291130930389965,0,NS
0,-0.31000000000000005,2,0.5664502338225886,0.028322511691129433,0,NS
0,-0.41000000000000003,2,0.49660441635304214,0.024830220817652106,0,NS
0,-0.51,2,0.4414634240052749,0.022073171200263746,0,NS
0,-0.6100000000000001,2,0.3966367420408745,0.019831837102043726,0,NS
0,-0.7100000000000001,2,0.35934362338716813,0.017967181169358408,0,NS
0,-0.81,2,0.3277475990544702,0.01638737995272351,0,NS
0,-0.91,2,0.30058712610198085,0.015029356305099042,0,NS
0,-1.01,2,0.27696433239074936,0.013848216619537468,0,NS
0,-1.11,2,0.2562199527557625,0.012810997637788124,0,NS
0,-1.2100000000000002,2,0.23785665852255725,0.011892832926127863,0,NS
0,-1.31,2,0.22149044794469067,0.011074522397234533,0,NS
0,-1.4100000000000001,2,0.20681884066117687,0.010340942033058843,0,NS
0,-1.51,2,0.19359945184726937,0.00967997259236347,0,NS
0,-0.01,2,-0.34905110143654716,0.030521795066436472,1,S
0,-0.11,2,-0.2698920755616794,0.0580263703464601,1,S
0,-0.21000000000000002,2,-0.2362366280547905,0.0496322000276629,1,S
0,-0.31000000000000005,2,-0.20355864510941457,0.04427136095939742,1,S
0,-0.41000000000000003,2,-0.17342731966958713,0.040141590607831706,1,S
0,-0.51,2,-0.14740440875440564,0.03650551738305648,1,S
0,-0.6100000000000001,2,-0.1254777063186422,0.033048118124321194,1,S
0,-0.7100000000000001,2,-0.10710497941742775,0.02970722280516498,1,S
0,-0.81,2,-0.09167736320440306,0.02652246015619262,1,S
0,-0.91,2,-0.07865961298260993,0.023551431409221037,1,S
0,-1.01,2,-0.067614684039555,0.020836703287387494,1,S
0,-1.11,2,-0.05819381760404199,0.018398677800621356,1,S
0,-1.2100000000000002,2,-0.050119610476380416,0.016238694564011946,1,S
0,-1.31,2,-0.04317032102775842,0.014344791774162443,1,S
0,-1.4100000000000001,2,-0.037167248074055165,0.012697084805943077,1,S
0,-1.51,2,-0.031965065987733104,0.011271858645033807,1,S
0,-0.01,2,3.5878371848728214,0.17939185924364107,1,NS
0,-0.11,2,2.671455364136805,0.13357276820684025,1,NS
0,-0.21000000000000002,2,2.093821384220721,0.10469106921103606,1,NS
0,-0.31000000000000005,2,1.6939954427224686,0.08469977213612342,1,NS
0,-0.41000000000000003,2,1.3994044448044924,0.06997022224022462,1,NS
0,-0.51,2,1.1739387292688752,0.05869693646344376,1,NS
0,-0.6100000000000001,2,0.9968841341523881,0.0498442067076194,1,NS
0,-0.7100000000000001,2,0.8551642614857873,0.04275821307428936,1,NS
0,-0.81,2,0.7399931404559688,0.036999657022798435,1,NS
0,-0.91,2,0.6452107670385588,0.03226053835192794,1,NS
0,-1.01,2,0.5663625451169261,0.028318127255846304,1,NS
0,-1.11,2,0.5001495180680873,0.025007475903404363,1,NS
0,-1.2100000000000002,2,0.4440812090654457,0.022204060453272285,1,NS
0,-1.31,2,0.39624708772546235,0.01981235438627312,1,NS
0,-1.4100000000000001,2,0.3551612143861882,0.01775806071930941,1,NS
0,-1.51,2,0.3196538806415987,0.015982694032079935,1,NS
