j,t,mu,f,delta f,GPD type,flavor
3,-2.77,2,0.0179405,0.005356523447061629,0,NS
4,-0.17,2,0.0186668,0.00811671954631648,0,NS
4,-0.65,2,0.0142909,0.00434680446569132,0,NS
4,-1.38,2,0.0116885,0.00801373772169323,0,NS
4,-2.29,2,0.0156945,0.016327707136662668,0,NS
4,-0.34,2,0.0202572,0.006997154588166821,0,NS
4,-0.81,2,0.0172381,0.005022153877510026,0,NS
4,-1.52,2,0.0116283,0.007895617044662247,0,NS
4,-1.24,2,0.0169071,0.006415690012237576,0,NS
4,-0.69,2,0.0092624,0.008807239592462783,0,NS
4,-1.38,2,0.0096353,0.0038783380313738764,0,NS
4,-2.77,2,0.006726,0.004296461109829345,0,NS
0,-0.17,2,0.1017961,0.19648710722297336,1,S
0,-0.65,2,0.046303,0.06471948891126536,1,S
0,-1.38,2,0.0035229,0.04507422770304695,1,S
0,-2.29,2,0.0054743,0.06725266321591677,1,S
0,-0.34,2,-0.0040258,0.1694320761248498,1,S
0,-0.81,2,0.0135797,0.06652375305878064,1,S
0,-1.52,2,0.0741983,0.057080334407067244,1,S
0,-1.24,2,0.0105033,0.05889696603210665,1,S
0,-0.69,2,0.0269733,0.058328316209988657,1,S
0,-1.38,2,0.030917,0.029645974954494243,1,S
0,-2.77,2,-0.0155473,0.018520941438002685,1,S
1,-0.17,2,0.0253437,0.0359615190282394,1,S
1,-0.65,2,0.0329739,0.01984560253618229,1,S
1,-1.38,2,-0.0028241,0.017174984952710293,1,S
1,-2.29,2,0.0189653,0.028422027849575142,1,S
1,-0.34,2,0.0240778,0.03862966662554183,1,S
1,-0.81,2,0.0130898,0.017957366302743284,1,S
1,-1.52,2,0.0213014,0.028979625939402665,1,S
1,-1.24,2,0.0239259,0.02657316687249047,1,S
1,-0.69,2,0.0224555,0.036758133268924645,1,S
1,-1.38,2,0.014853,0.011201061501705988,1,S
1,-2.77,2,0.0002959,0.008291168803656393,1,S
2,-0.17,2,0.0153907,0.0201609041803716,1,S
2,-0.65,2,0.0234722,0.01484599596997453,1,S
2,-1.38,2,0.0347715,0.013047784090661716,1,S
2,-2.29,2,0.0152529,0.022143584964253758,1,S
2,-0.34,2,0.0026161,0.024155967611764695,1,S
2,-0.81,2,0.0078394,0.012428324614886754,1,S
2,-1.52,2,0.0058999,0.017800333156225617,1,S
2,-1.24,2,0.0185974,0.01364990441095468,1,S
2,-0.69,2,0.0198133,0.04701044864248931,1,S
2,-1.38,2,0.0037572,0.006289903472487952,1,S
2,-2.77,2,0.0118142,0.006695957791690745,1,S
3,-0.17,2,0.0096705,0.012420357247689175,1,S
3,-0.65,2,0.0076932,0.0077858277317158775,1,S
3,-1.38,2,0.0037119,0.006913259848973493,1,S
3,-2.29,2,0.0116278,0.012199694253783575,1,S
3,-0.34,2,0.0245252,0.014370715861963873,1,S
3,-0.81,2,0.0114797,0.00981407699656906,1,S
3,-1.52,2,-0.0013127,0.014464390304521135,1,S
3,-1.24,2,0.0084608,0.00860174746525751,1,S
3,-0.69,2,-0.0007575,0.03004261487288723,1,S
3,-1.38,2,0.0058602,0.004583984284710082,1,S
3,-2.77,2,0.0006453,0.003405819757585683,1,S
4,-0.17,2,0.0114124,0.01743658553679877,1,S
4,-0.65,2,0.0079814,0.012387897012495704,1,S
4,-1.38,2,0.0144196,0.009950248730627843,1,S
