x,t,mu,f,delta f,GPD type,flavor
0.305,-0.17,2.0,1.256866,0.040796,2,NS
0.345,-0.17,2.0,1.184349,0.036573,2,NS
0.385,-0.17,2.0,1.112996,0.032846,2,NS
0.425,-0.17,2.0,1.042058,0.029545,2,NS
0.465,-0.17,2.0,0.972057,0.026663,2,NS
0.505,-0.17,2.0,0.903468,0.024155,2,NS
0.545,-0.17,2.0,0.83623,0.021928,2,NS
0.585,-0.17,2.0,0.770267,0.019901,2,NS
0.625,-0.17,2.0,0.705995,0.018035,2,NS
0.665,-0.17,2.0,0.644034,0.016324,2,NS
0.305,-0.65,2.0,0.95881,0.036857,2,NS
0.345,-0.65,2.0,0.910351,0.033535,2,NS
0.385,-0.65,2.0,0.861871,0.030441,2,NS
0.425,-0.65,2.0,0.812919,0.027606,2,NS
0.465,-0.65,2.0,0.763856,0.02506,2,NS
0.505,-0.65,2.0,0.71498,0.02278,2,NS
0.545,-0.65,2.0,0.666254,0.020711,2,NS
0.585,-0.65,2.0,0.617693,0.01882,2,NS
0.625,-0.65,2.0,0.569698,0.017115,2,NS
0.665,-0.65,2.0,0.522801,0.015611,2,NS
0.305,-1.38,2.0,0.663062,0.043905,2,NS
0.345,-1.38,2.0,0.632106,0.041407,2,NS
0.385,-1.38,2.0,0.60141,0.03898,2,NS
0.425,-1.38,2.0,0.570366,0.036668,2,NS
0.465,-1.38,2.0,0.539019,0.034486,2,NS
0.505,-1.38,2.0,0.507497,0.032394,2,NS
0.545,-1.38,2.0,0.475769,0.030339,2,NS
0.585,-1.38,2.0,0.443843,0.028311,2,NS
0.625,-1.38,2.0,0.411949,0.026344,2,NS
0.665,-1.38,2.0,0.380404,0.024476,2,NS
0.305,-0.34,2.0,1.027147,0.044688,2,NS
0.345,-0.34,2.0,0.973629,0.04109,2,NS
0.385,-0.34,2.0,0.919951,0.037821,2,NS
0.425,-0.34,2.0,0.865763,0.034846,2,NS
0.465,-0.34,2.0,0.811545,0.032167,2,NS
0.505,-0.34,2.0,0.757665,0.029718,2,NS
0.545,-0.34,2.0,0.704091,0.027389,2,NS
0.585,-0.34,2.0,0.650832,0.025102,2,NS
0.625,-0.34,2.0,0.59832,0.022848,2,NS
0.665,-0.34,2.0,0.547142,0.020657,2,NS
0.305,-1.24,2.0,0.575465,0.049086,2,NS
0.345,-1.24,2.0,0.550852,0.045391,2,NS
0.385,-1.24,2.0,0.526034,0.041851,2,NS
0.425,-1.24,2.0,0.500826,0.03854,2,NS
0.465,-1.24,2.0,0.475407,0.035508,2,NS
0.505,-1.24,2.0,0.449863,0.032703,2,NS
0.545,-1.24,2.0,0.424063,0.030036,2,NS
0.585,-1.24,2.0,0.397908,0.02747,2,NS
0.625,-1.24,2.0,0.371536,0.025047,2,NS
0.665,-1.24,2.0,0.345217,0.022824,2,NS
0.305,-0.81,2.0,0.787455,0.0403,2,NS
0.345,-0.81,2.0,0.747377,0.037182,2,NS
0.385,-0.81,2.0,0.707206,0.03421,2,NS
0.425,-0.81,2.0,0.666839,0.031455,2,NS
0.465,-0.81,2.0,0.626708,0.028971,2,NS
0.505,-0.81,2.0,0.587045,0.026719,2,NS
0.545,-0.81,2.0,0.547697,0.024603,2,NS
0.585,-0.81,2.0,0.508527,0.022555,2,NS
0.625,-0.81,2.0,0.469756,0.02057,2,NS
0.665,-0.81,2.0,0.431797,0.01868,2,NS
