!  E0     Theta    Q^2      Sig        dSig   TPE-Blun TPE-Fesh idat Norm
  228.90  75.000  0.0658 0.3316E+03 0.2987E+01  1.0068  1.0087  28. 0.035
  228.90  80.000  0.0721 0.2495E+03 0.2994E+01  1.0072  1.0090  28. 0.035
  228.90  90.000  0.0842 0.1487E+03 0.2096E+01  1.0078  1.0095  28. 0.035
  228.90 110.000  0.1059 0.6369E+02 0.8985E+00  1.0094  1.0103  28. 0.035
  228.90 120.000  0.1151 0.4567E+02 0.5971E+00  1.0102  1.0106  28. 0.035
  228.90 130.000  0.1229 0.3500E+02 0.4986E+00  1.0110  1.0109  28. 0.035
  228.90 140.000  0.1293 0.2851E+02 0.3987E+00  1.0118  1.0111  28. 0.035
  249.60  28.000  0.0141 0.2039E+05 0.3998E+03  1.0038  1.0045  28. 0.035
  249.60  35.000  0.0215 0.7970E+04 0.9000E+02  1.0043  1.0053  28. 0.035
  249.60  40.000  0.0274 0.4509E+04 0.5998E+02  1.0047  1.0058  28. 0.035
  249.60  45.000  0.0339 0.2684E+04 0.2993E+02  1.0049  1.0063  28. 0.035
  249.60  50.000  0.0407 0.1664E+04 0.2291E+02  1.0052  1.0068  28. 0.035
  249.60  55.000  0.0477 0.1088E+04 0.1497E+02  1.0054  1.0072  28. 0.035
  249.60  60.000  0.0550 0.7406E+03 0.8995E+01  1.0057  1.0076  28. 0.035
  249.60  65.000  0.0624 0.5214E+03 0.6991E+01  1.0059  1.0080  28. 0.035
  249.60  70.000  0.0698 0.3677E+03 0.3986E+01  1.0062  1.0084  28. 0.035
  249.60  75.000  0.0771 0.2718E+03 0.3982E+01  1.0064  1.0087  28. 0.035
  249.60  80.000  0.0844 0.1973E+03 0.2993E+01  1.0067  1.0090  28. 0.035
  249.60  90.000  0.0984 0.1194E+03 0.1796E+01  1.0073  1.0095  28. 0.035
  249.60 100.000  0.1114 0.7562E+02 0.1294E+01  1.0079  1.0099  28. 0.035
  249.60 110.000  0.1232 0.5200E+02 0.8982E+00  1.0086  1.0103  28. 0.035
  249.60 120.000  0.1336 0.3720E+02 0.5969E+00  1.0093  1.0106  28. 0.035
  249.60 130.000  0.1424 0.2881E+02 0.3987E+00  1.0099  1.0109  28. 0.035
  249.60 140.000  0.1497 0.2392E+02 0.3986E+00  1.0105  1.0111  28. 0.035
  275.30  35.000  0.0260 0.6430E+04 0.7000E+02  1.0042  1.0053  28. 0.035
  275.30  40.000  0.0332 0.3589E+04 0.3999E+02  1.0044  1.0058  28. 0.035
  275.30  45.000  0.0409 0.2105E+04 0.1995E+02  1.0047  1.0063  28. 0.035
  275.30  55.000  0.0575 0.8603E+03 0.8982E+01  1.0051  1.0072  28. 0.035
  275.30  80.000  0.1008 0.1564E+03 0.1596E+01  1.0061  1.0090  28. 0.035
  275.30  90.000  0.1172 0.9386E+02 0.9974E+00  1.0065  1.0095  28. 0.035
  275.30 100.000  0.1323 0.5948E+02 0.5968E+00  1.0070  1.0099  28. 0.035
  275.30 110.000  0.1460 0.4120E+02 0.3990E+00  1.0075  1.0103  28. 0.035
  275.30 120.000  0.1579 0.3023E+02 0.2983E+00  1.0080  1.0106  28. 0.035
  275.30 130.000  0.1680 0.2352E+02 0.1993E+00  1.0085  1.0109  28. 0.035
  275.30 140.000  0.1763 0.1913E+02 0.1893E+00  1.0089  1.0111  28. 0.035
  275.30 150.000  0.1828 0.1624E+02 0.1591E+00  1.0092  1.0113  28. 0.035
  298.50  28.000  0.0201 0.1392E+05 0.1500E+03  1.0036  1.0045  28. 0.035
  298.50  30.000  0.0229 0.1032E+05 0.1098E+03  1.0037  1.0047  28. 0.035
  298.50  35.000  0.0305 0.5310E+04 0.6000E+02  1.0040  1.0053  28. 0.035
  298.50  40.000  0.0388 0.2959E+04 0.2999E+02  1.0042  1.0058  28. 0.035
  298.50  45.000  0.0478 0.1745E+04 0.1795E+02  1.0044  1.0063  28. 0.035
  298.50  50.000  0.0572 0.1085E+04 0.1195E+02  1.0046  1.0068  28. 0.035
  298.50  55.000  0.0669 0.7015E+03 0.6985E+01  1.0047  1.0072  28. 0.035
  298.50  60.000  0.0769 0.4715E+03 0.4995E+01  1.0049  1.0076  28. 0.035
  298.50  65.000  0.0869 0.3274E+03 0.3993E+01  1.0050  1.0080  28. 0.035
  298.50  70.000  0.0970 0.2331E+03 0.1992E+01  1.0052  1.0084  28. 0.035
 1912.00 111.511  2.6400 0.1646E-01 0.1034E-03  0.9683  1.0104  27. 0.029
 2262.00  71.482  2.6400 0.4804E-01 0.3311E-03  0.9803  1.0085  27. 0.029
 2842.00  47.440  2.6400 0.1402E+00 0.9028E-03  0.9880  1.0066  27. 0.029
 3772.00  31.566  2.6400 0.4090E+00 0.2563E-02  0.9926  1.0049  27. 0.029
