y,xB,t,Q,phi,f,delta f,pol
0.7967294658352517,0.17,-0.23,1.104536101718726,0.1134464013796314,0.0289,0.0139,LU
0.7967294658352517,0.17,-0.23,1.104536101718726,0.3926990816987241,0.0794,0.0221,LU
0.7967294658352517,0.17,-0.23,1.104536101718726,0.9162978572970231,0.1427,0.0381,LU
0.7967294658352517,0.17,-0.23,1.104536101718726,1.788962483294188,0.2028,0.0589,LU
0.7967294658352517,0.17,-0.23,1.104536101718726,3.141592653589793,0.0227,0.1062,LU
0.7967294658352517,0.17,-0.23,1.104536101718726,4.494222823885399,-0.1394,0.0582,LU
0.7967294658352517,0.17,-0.23,1.104536101718726,5.366887449882563,-0.1662,0.0431,LU
0.7967294658352517,0.17,-0.23,1.104536101718726,5.890486225480863,-0.0862,0.0203,LU
0.7967294658352517,0.17,-0.23,1.104536101718726,6.169738905799955,-0.0147,0.0135,LU
0.7967294658352517,0.17,-0.23,1.104536101718726,6.257005368399671,-0.0032,0.0063,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,0.02617993877991494,0.0007,0.0055,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,0.1134464013796314,-0.0005,0.0134,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,0.3926990816987241,0.066,0.0196,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,0.9162978572970231,0.1826,0.0322,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,1.788962483294188,0.208,0.0475,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,3.141592653589793,0.0703,0.1146,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,4.494222823885399,-0.2592,0.0539,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,5.366887449882563,-0.2173,0.0337,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,5.890486225480863,-0.0631,0.0185,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,6.169738905799955,0.013,0.0129,LU
0.8381985814750376,0.2,-0.26,1.228820572744451,6.257005368399671,-0.0001,0.0058,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,0.02617993877991494,0.0021,0.006,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,0.1134464013796314,0.0315,0.0154,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,0.3926990816987241,0.1054,0.0217,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,0.9162978572970231,0.1544,0.0454,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,1.788962483294188,0.2237,0.075,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,3.141592653589793,0.0071,0.1307,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,4.494222823885399,-0.1471,0.0906,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,5.366887449882563,-0.1451,0.0463,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,5.890486225480863,-0.0643,0.022,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,6.169738905799955,-0.0308,0.0158,LU
0.8088576661348517,0.28,-0.38,1.42828568570857,6.257005368399671,0.0006,0.0063,LU
0.8157532984122161,0.23,-0.19,1.3,0.02617993877991494,0.0014,0.0102,LU
0.8157532984122161,0.23,-0.19,1.3,0.1134464013796314,0.0449,0.0219,LU
0.8157532984122161,0.23,-0.19,1.3,0.3926990816987241,0.0298,0.026,LU
0.8157532984122161,0.23,-0.19,1.3,0.9162978572970231,0.1354,0.0402,LU
0.8157532984122161,0.23,-0.19,1.3,1.788962483294188,0.2361,0.0503,LU
0.8157532984122161,0.23,-0.19,1.3,3.141592653589793,-0.0858,0.1092,LU
0.8157532984122161,0.23,-0.19,1.3,4.494222823885399,-0.2164,0.0533,LU
0.8157532984122161,0.23,-0.19,1.3,5.366887449882563,-0.2105,0.0389,LU
0.8157532984122161,0.23,-0.19,1.3,5.890486225480863,-0.0691,0.0253,LU
0.8157532984122161,0.23,-0.19,1.3,6.169738905799955,0.0111,0.0218,LU
0.8157532984122161,0.23,-0.19,1.3,6.257005368399671,0.0075,0.011,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,0.02617993877991494,-0.0002,0.0071,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,0.1134464013796314,0.0024,0.0185,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,0.3926990816987241,0.1143,0.0266,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,0.9162978572970231,0.1871,0.0503,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,1.788962483294188,0.1191,0.0906,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,3.141592653589793,0.1608,0.1994,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,4.494222823885399,-0.0513,0.121,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,5.366887449882563,-0.1756,0.0548,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,5.890486225480863,-0.0594,0.026,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,6.169738905799955,0.001,0.0179,LU
0.8398880113829917,0.23,-0.3,1.319090595827292,6.257005368399671,-0.0035,0.0076,LU
0.812664055151957,0.25,-0.46,1.352774925846868,0.02617993877991494,0.0141,0.0049,LU
0.812664055151957,0.25,-0.46,1.352774925846868,0.1134464013796314,0.0209,0.0131,LU
0.812664055151957,0.25,-0.46,1.352774925846868,0.3926990816987241,0.0969,0.0204,LU
0.812664055151957,0.25,-0.46,1.352774925846868,0.9162978572970231,0.1998,0.045,LU
0.812664055151957,0.25,-0.46,1.352774925846868,1.788962483294188,0.2461,0.0984,LU
0.812664055151957,0.25,-0.46,1.352774925846868,3.141592653589793,0.0629,0.1908,LU
0.812664055151957,0.25,-0.46,1.352774925846868,4.494222823885399,-0.328,0.1797,LU
0.812664055151957,0.25,-0.46,1.352774925846868,5.366887449882563,-0.1679,0.0515,LU
0.812664055151957,0.25,-0.46,1.352774925846868,5.890486225480863,-0.0653,0.0194,LU
0.812664055151957,0.25,-0.46,1.352774925846868,6.169738905799955,-0.0377,0.0129,LU
0.812664055151957,0.25,-0.46,1.352774925846868,6.257005368399671,0.0045,0.0053,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,-2.827349999999814,0.0,0.1218236430254817,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,-2.199049999999855,0.432,0.1041393297462587,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,-1.570749999999897,0.177,0.101202766760598,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,-0.942449999999938,0.306,0.08852683209061532,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,-0.3141499999999793,0.1,0.07981227975693966,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,0.3141499999999793,-0.084,0.08174350127074323,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,0.942449999999938,-0.164,0.08852683209061532,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,1.570749999999897,-0.131,0.1031600697944704,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,2.199049999999855,-0.21,0.1178855377050128,LU
0.4563654816292119,0.11,-0.27,1.61245154965971,2.827349999999814,-0.159,0.1188696765369537,LU
0.579508848412955,0.102814,-0.149945,1.088650540807288,0.001669114214218241,-0.00401505,0.0153526,LL
0.5970159014247491,0.099858,-0.148208,1.088971992293649,0.004974258181353918,0.063576,0.0164779,LL
0.626938680442547,0.0947776,-0.15012,1.087170639780159,0.008207375900918294,0.0983536,0.0173404,LL
0.6677351376113986,0.0888319,-0.151467,1.08622281323861,0.01147950172926474,0.145918,0.0168122,LL
0.7189369166197895,0.0824138,-0.152116,1.085619638731725,0.01478279913805181,0.165289,0.0183801,LL
0.7505337489665003,0.0782282,-0.150373,1.080684967971703,0.01788718137198909,0.226742,0.0220662,LL
0.7507546633868395,0.0774572,-0.144887,1.075504532765901,0.02114815454641529,0.170445,0.0358811,LL
0.7024841728716351,0.082693,-0.140749,1.074941858892843,0.02438469311131358,0.201054,0.0512921,LL
0.5541227918982874,0.104445,-0.150041,1.072949206626297,0.02860996069746665,0.196896,0.0689447,LL
0.5592409083529569,0.107031,-0.155099,1.091155350992699,0.03231564376530101,0.19516,0.0806462,LL
0.5810385257563921,0.102218,-0.155653,1.086922260329597,0.03582445369351041,0.22057,0.058886,LL
0.585971836770041,0.101209,-0.160727,1.086126143686819,0.03895208371308425,0.102624,0.0593524,LL
0.5778001069014234,0.100587,-0.163499,1.075206956822732,0.04230765373296854,0.153486,0.0460841,LL
0.5908889248493221,0.0983155,-0.163251,1.074969767016729,0.04552708807119728,0.197954,0.0476778,LL
0.5925841511704583,0.0985263,-0.165462,1.077664140630094,0.04875699438493799,0.0944589,0.0478898,LL
0.5823818552616864,0.100614,-0.168255,1.079606409762373,0.05199388201568667,-0.000287466,0.0581132,LL
0.5931407085559901,0.0976829,-0.16482,1.073545527679195,0.0552492701365065,0.051989,0.064546,LL
0.5915330171117519,0.0992419,-0.16385,1.080610938312212,0.05867081360211619,-0.093807,0.0695206,LL
0.5881536730754527,0.10016,-0.161178,1.082492494200306,0.06192253653150682,-0.00275131,0.0675397,LL
0.5612607041890866,0.104059,-0.162129,1.077840433459424,0.06516361295246029,-0.181496,0.0858614,LL
0.5406238997823265,0.10936,-0.162285,1.084449168933242,0.07022454418446825,-0.434516,0.101771,LL
0.7039995321163744,0.0814467,-0.154093,1.06796067343325,0.08355781247215373,-0.396749,0.129083,LL
0.762393637780366,0.076309,-0.15134,1.075746252607928,0.08743610860301032,-0.138658,0.0578388,LL
0.758077299770831,0.0768801,-0.151423,1.076703301750301,0.09064838709130589,-0.209361,0.0319571,LL
0.7327589163777792,0.0807721,-0.152208,1.085034561661517,0.0938458302809595,-0.21347,0.0210983,LL
0.6874443674088869,0.0864401,-0.152337,1.087198233994151,0.09706177396068426,-0.153312,0.0188983,LL
0.6421912267118635,0.0924334,-0.151478,1.086623209765004,0.1002831281610902,-0.0964044,0.017923,LL
0.6079156282683809,0.0980345,-0.15162,1.08878831735099,0.1035521298500756,-0.152948,0.0189522,LL
0.5833671616548547,0.10224,-0.149888,1.089215313884266,0.1074569549855625,-0.0428874,0.0157058,LL
0.3421435437633515,0.172113,-0.16118,1.082289240452847,0.001689833017768666,0.00788785,0.0404457,LL
0.3459276068789753,0.170861,-0.161934,1.0842923959892,0.004890290391040472,0.111085,0.0357623,LL
0.3614797000058846,0.167539,-0.154625,1.097570043322976,0.008118870254549663,0.13975,0.041485,LL
0.3623176366215683,0.167812,-0.155138,1.099736332036002,0.01141663496960791,0.253767,0.0494776,LL
0.3557634439599753,0.169978,-0.154738,1.096754302476175,0.01463081586678815,0.245527,0.071006,LL
0.3654944678314671,0.165568,-0.149449,1.097137183765093,0.01870731158750122,0.368885,0.0662578,LL
0.3816191675686164,0.161365,-0.157696,1.106756522456498,0.02253534223590038,0.186504,0.101813,LL
0.3725916472674286,0.164171,-0.164611,1.103054849044235,0.02626196925475868,0.262475,0.0815877,LL
0.3759991910479588,0.16202,-0.175235,1.100804251445278,0.03015248269037924,0.369252,0.0845168,LL
0.3689565085443916,0.164321,-0.180005,1.098162100966884,0.0334272439658962,0.278611,0.0790118,LL
0.3814125694996931,0.156333,-0.178415,1.089068409237914,0.03728337441525247,0.191706,0.0953673,LL
0.4008051515714066,0.152567,-0.181843,1.102882586679108,0.04161720148087959,0.14783,0.0808019,LL
0.4108299093284974,0.148236,-0.181592,1.100627093978701,0.04619537464178591,0.379569,0.063099,LL
