y,xB,t,Q,phi,f,delta f,pol
0.6629285684797902,0.357,-0.177,1.22065556157337,0.7853981633974483,0.3423,0.0202232873925086,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,1.308996938995747,0.2736,0.0173681756969464,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,1.832595714594046,0.2126,0.014672543414146,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,2.356194490192345,0.1775,0.0123799192242922,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,2.879793265790644,0.155,0.011162508678608,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,3.403392041388943,0.1491,0.0110799074653175,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,3.926990816987241,0.1559,0.0120784156841864,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,4.450589592585541,0.2183,0.0147580014690336,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,4.974188368183839,0.287,0.0175882306102689,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,5.497787143782138,0.3506,0.0212101496609524,UU
0.6629285684797902,0.357,-0.177,1.22065556157337,6.021385919380437,0.4035,0.0238058762493633,UU
0.663659771589478,0.359,-0.236,1.224744871391589,0.2617993877991494,0.4956,0.0384254372081828,UU
0.663659771589478,0.359,-0.236,1.224744871391589,0.7853981633974483,0.3401,0.0227693663117795,UU
0.663659771589478,0.359,-0.236,1.224744871391589,1.308996938995747,0.236,0.0159070017287985,UU
0.663659771589478,0.359,-0.236,1.224744871391589,1.832595714594046,0.1371,0.0118426147383084,UU
0.663659771589478,0.359,-0.236,1.224744871391589,2.356194490192345,0.1355,0.0108995823773207,UU
0.663659771589478,0.359,-0.236,1.224744871391589,2.879793265790644,0.105,0.0101710176482002,UU
0.663659771589478,0.359,-0.236,1.224744871391589,3.403392041388943,0.1127,0.0104425150686987,UU
0.663659771589478,0.359,-0.236,1.224744871391589,3.926990816987241,0.1259,0.0107810588274065,UU
0.663659771589478,0.359,-0.236,1.224744871391589,4.450589592585541,0.1552,0.0120691809564692,UU
0.663659771589478,0.359,-0.236,1.224744871391589,4.974188368183839,0.2026,0.0154282818952727,UU
0.663659771589478,0.359,-0.236,1.224744871391589,5.497787143782138,0.3202,0.0215867717123241,UU
0.663659771589478,0.359,-0.236,1.224744871391589,6.021385919380437,0.5175,0.0387199380164793,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,0.7853981633974483,0.3087,0.031584533977249,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,1.308996938995747,0.1682,0.0149990076258397,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,1.832595714594046,0.1207,0.011658393275233,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,2.356194490192345,0.1003,0.0100275386890303,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,2.879793265790644,0.0774,0.0098175627443882,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,3.403392041388943,0.0842,0.010163650493794,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,3.926990816987241,0.0923,0.0104270682821203,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,4.450589592585541,0.1243,0.0116970638093497,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,4.974188368183839,0.1655,0.0149682202014802,UU
0.6618162722239516,0.36,-0.296,1.224744871391589,5.497787143782138,0.3121,0.0316187312180612,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,0.1308996938995747,0.1116,0.0047010637094172,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,0.1308996938995747,0.0769,0.0043416586692184,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,0.1308996938995747,0.0752,0.0060166435825965,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,0.1308996938995747,0.0662,0.0083384650865731,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,0.1308996938995747,0.0706,0.0176309387157916,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,0.3926990816987241,0.1176,0.0039623225512317,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,0.3926990816987241,0.0686,0.004640043103248,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,0.3926990816987241,0.0597,0.0047127486671792,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,0.3926990816987241,0.0640999999999999,0.0066098411478642,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,0.3926990816987241,0.0663,0.0101355808910984,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,0.6544984694978736,0.0998,0.0035355339059327,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,0.6544984694978736,0.0617,0.0041231056256176,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,0.6544984694978736,0.0579,0.004085339643163,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,0.6544984694978736,0.0439,0.004846648326421,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,0.6544984694978736,0.0451,0.00658634952003,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,0.9162978572970232,0.0941,0.0047381430961928,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,0.9162978572970232,0.0669,0.0032310988842807,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,0.9162978572970232,0.0504,0.0052801515129776,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,0.9162978572970232,0.0425,0.0047201694884823,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,0.9162978572970232,0.039,0.0073409808608931,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,1.178097245096172,0.0882,0.0036619666847201,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,1.178097245096172,0.0555,0.0033600595232822,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,1.178097245096172,0.04,0.0030083217912982,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,1.178097245096172,0.0353,0.0042449970553582,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,1.178097245096172,0.041,0.0044102154142399,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,1.439896632895322,0.0787,0.0028284271247461,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,1.439896632895322,0.0461,0.0025632011235952,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,1.439896632895322,0.0361,0.002817800560721,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,1.439896632895322,0.0294,0.0030463092423455,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,1.439896632895322,0.0267,0.0043931765272977,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,1.701696020694471,0.0672,0.0044407206622349,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,1.701696020694471,0.0401,0.0025238858928247,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,1.701696020694471,0.0352,0.0028425340807103,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,1.701696020694471,0.0274,0.0031240998703626,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,1.701696020694471,0.0292,0.0043278170016764,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,1.963495408493621,0.0608,0.0027294688127912,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,1.963495408493621,0.0377,0.0036891733491393,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,1.963495408493621,0.033,0.0025238858928247,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,1.963495408493621,0.024,0.0024698178070456,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,1.963495408493621,0.0259,0.0027856776554368,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,2.22529479629277,0.0575,0.0032526911934581,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,2.22529479629277,0.034,0.0028425340807103,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,2.22529479629277,0.0293,0.0034985711369071,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,2.22529479629277,0.0255,0.0029732137494637,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,2.22529479629277,0.0214,0.0027784887978899,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,2.487094184091919,0.0501,0.0022472205054244,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,2.487094184091919,0.0339,0.0019235384061671,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,2.487094184091919,0.028,0.0022022715545545,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,2.487094184091919,0.0224,0.0023021728866442,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,2.487094184091919,0.0161,0.0027784887978899,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,2.748893571891069,0.0499,0.0022847319317591,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,2.748893571891069,0.0346,0.0017720045146669,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,2.748893571891069,0.0263,0.0032756678708318,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,2.748893571891069,0.0213,0.0033421549934136,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,2.748893571891069,0.0135,0.0038183766184073,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,3.010692959690219,0.0481,0.0028284271247461,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,3.010692959690219,0.0307,0.0018357559750685,UU
0.4847748785952623,0.375,-0.278,1.401427843308388,3.010692959690219,0.0268,0.001838477631085,UU
0.4850314779941609,0.379,-0.323,1.409255122396225,3.010692959690219,0.0174,0.0023853720883753,UU
0.4856436438130088,0.381,-0.371,1.413859964777276,3.010692959690219,0.0175,0.0036235341863986,UU
0.4911420950895514,0.343,-0.172,1.349073756323204,3.272492347489368,0.0483,0.0025,UU
0.4861988484594173,0.368,-0.232,1.390323703315167,3.272492347489368,0.0315,0.0022627416997969,UU
