x,t,mu,f,delta f,GPD type,flavor
0.0005,0,2,1083.610048073511,35.54947304478823,0,u
0.0005761739635434,0,2,917.2111889680444,30.017373889056124,0,u
0.0006639528725307,0,2,776.8827174213851,25.3516126753067,0,u
0.0007651047163441,0,2,658.3931563215596,21.412304201025105,0,u
0.0008816668338835,0,2,558.3372553219904,18.08571942371285,0,u
0.0010159869484069,0,2,473.9244193341016,15.27794487280458,0,u
0.0011707704539441,0,2,402.5374070646104,12.90433674403103,0,u
0.001349134905697,0,2,342.31274693232075,10.900529269476213,0,u
0.0015546728119405,0,2,291.3819991306715,9.20629545347362,0,u
0.001791523992138,0,2,248.3594835259833,7.7743840820815455,0,u
0.0020644589586666,0,2,211.99147801379132,6.5633035552200925,0,u
0.0023789750015754,0,2,181.2137620604664,5.537977164808227,0,u
0.002741406911657,0,2,155.19752080434233,4.669845948333081,0,u
0.0031590545719496,0,2,133.14447533020856,3.933475435245017,0,u
0.0036403299875404,0,2,114.4792114779822,3.308769755515593,0,u
0.0041949267150544,0,2,98.65094367963188,2.778093324613327,0,u
0.0048340151043743,0,2,85.2183825567649,2.3270016011208656,0,u
0.0055704672850324,0,2,73.81781101834733,1.943468374127881,0,u
0.0064191164288124,0,2,64.11220729940635,1.617422793546979,0,u
0.0073970555104713,0,2,55.85413613135885,1.340614617940401,0,u
0.0085239815840382,0,2,48.8090194623479,1.1061759782882716,0,u
0.0098225925088932,0,2,42.78702258993922,0.9084470013859184,0,u
0.0113190441162422,0,2,37.63183483680007,0.7426756878172284,0,u
0.0130434770239566,0,2,33.20230527483152,0.6049129823637942,0,u
0.0150306237105617,0,2,29.387812785972187,0.4916840925112328,0,u
0.0173205080756887,0,2,26.091531372056934,0.3998943206189504,0,u
0.0199592515771115,0,2,23.22985165092327,0.3266266693978502,0,u
0.0230000021810899,0,2,20.736274152323396,0.268976670203068,0,u
0.0265040048363727,0,2,18.55276797139649,0.2240400905710097,0,u
0.0305418350326947,0,2,16.63056564582903,0.1889807681010386,0,u
0.0351948202893552,0,2,14.929864866659374,0.1612583052639051,0,u
0.0405566782046337,0,2,13.417358311782918,0.1388510824610537,0,u
0.0467354040586393,0,2,12.06546932034194,0.1203791834593861,0,u
0.0538554459885407,0,2,10.851652832622642,0.1050384668306497,0,u
0.0620602115472343,0,2,9.757478653294358,0.0923682188684383,0,u
0.0715149561310287,0,2,8.767569865227939,0.0819612510315963,0,u
0.0824101114533,0,2,7.868870784141468,0.0732814282658379,0,u
0.094965121104209,0,2,7.049796908596143,0.0656728335692964,0,u
0.1094328604499897,0,2,6.299502107062325,0.0585476006373858,0,u
