x,xi,t,Q,f,delta f,GPD type,flavor
0.505,0.2,-0.493,2.0,0.225454,0.15,0,NS
0.525,0.2,-0.493,2.0,0.170508,0.15,0,NS
0.405,0.2,-0.295,2.0,0.564785,0.17227582644193,0,NS
0.415,0.2,-0.295,2.0,0.524706,0.1602317690729276,0,NS
0.425,0.2,-0.295,2.0,0.485617,0.15,0,NS
0.435,0.2,-0.295,2.0,0.447467,0.15,0,NS
0.445,0.2,-0.295,2.0,0.410225,0.15,0,NS
0.465,0.2,-0.295,2.0,0.338428,0.15,0,NS
0.475,0.2,-0.295,2.0,0.303892,0.15,0,NS
0.485,0.2,-0.295,2.0,0.270295,0.15,0,NS
0.495,0.2,-0.295,2.0,0.237671,0.15,0,NS
0.515,0.2,-0.295,2.0,0.175495,0.15,0,NS
0.205,0.5,-1.337,2.0,0.524448,0.1648121900356888,0,NS
0.215,0.5,-1.337,2.0,0.519806,0.16313233642733127,0,NS
0.225,0.5,-1.337,2.0,0.515031,0.1614105326039475,0,NS
0.235,0.5,-1.337,2.0,0.510107,0.15964329233140362,0,NS
0.245,0.5,-1.337,2.0,0.505022,0.15782905949019652,0,NS
0.255,0.5,-1.337,2.0,0.499761,0.15596447044404055,0,NS
0.265,0.5,-1.337,2.0,0.494313,0.1540480602838283,0,NS
0.275,0.5,-1.337,2.0,0.488666,0.1520779532346487,0,NS
0.285,0.5,-1.337,2.0,0.482811,0.15005380087118753,0,NS
0.295,0.5,-1.337,2.0,0.476738,0.15,0,NS
0.205,0.5,-0.914,2.0,0.549091,0.172463732391161,0,NS
0.215,0.5,-0.914,2.0,0.544702,0.17090912483937185,0,NS
0.225,0.5,-0.914,2.0,0.540205,0.16932139316474454,0,NS
0.235,0.5,-0.914,2.0,0.535586,0.16769746876336566,0,NS
0.245,0.5,-0.914,2.0,0.530834,0.16603481166321718,0,NS
0.255,0.5,-0.914,2.0,0.52594,0.16433198110227965,0,NS
0.265,0.5,-0.914,2.0,0.520893,0.16258689780978666,0,NS
0.275,0.5,-0.914,2.0,0.515686,0.1607985724116977,0,NS
0.285,0.5,-0.914,2.0,0.510312,0.15896568689487678,0,NS
0.295,0.5,-0.914,2.0,0.504766,0.15708825497802184,0,NS
0.205,0.5,-0.686,2.0,0.695843,0.2153478633616085,0,NS
0.215,0.5,-0.686,2.0,0.689252,0.2131911944812918,0,NS
0.225,0.5,-0.686,2.0,0.682443,0.21096822530042292,0,NS
0.235,0.5,-0.686,2.0,0.675394,0.20867353448925907,0,NS
0.245,0.5,-0.686,2.0,0.668086,0.20630205488467632,0,NS
0.255,0.5,-0.686,2.0,0.6605,0.20384892689440384,0,NS
0.265,0.5,-0.686,2.0,0.652621,0.20131042239211064,0,NS
0.275,0.5,-0.686,2.0,0.644433,0.19868318080303124,0,NS
0.285,0.5,-0.686,2.0,0.635924,0.19596404002734788,0,NS
0.295,0.5,-0.686,2.0,0.627082,0.1931502736243467,0,NS
0.345,0.1428571428571428,-0.203,2.0,0.512946,0.3380051997210102,1,NS
0.355,0.1428571428571428,-0.203,2.0,0.438525,0.3128149955520835,1,NS
0.365,0.1428571428571428,-0.203,2.0,0.367378,0.2889619688878798,1,NS
0.375,0.1428571428571428,-0.203,2.0,0.29906,0.2665884411747816,1,NS
0.385,0.1428571428571428,-0.203,2.0,0.233247,0.24586086496189263,1,NS
0.395,0.1428571428571428,-0.203,2.0,0.169721,0.2269648915706788,1,NS
0.345,0.1428571428571428,-0.343,2.0,0.404869,0.21356707112635598,1,NS
0.355,0.1428571428571428,-0.343,2.0,0.350015,0.1962107948642225,1,NS
0.365,0.1428571428571428,-0.343,2.0,0.298547,0.18062539341081033,1,NS
0.375,0.1428571428571428,-0.343,2.0,0.250145,0.16684869580626036,1,NS
0.385,0.1428571428571428,-0.343,2.0,0.204556,0.15489667984253244,1,NS
0.395,0.1428571428571428,-0.343,2.0,0.161578,0.15,1,NS
0.345,0.1428571428571428,-0.613,2.0,0.39697,0.16311960103555917,1,NS
0.355,0.1428571428571428,-0.613,2.0,0.34534,0.15,1,NS
0.365,0.1428571428571428,-0.613,2.0,0.297112,0.15,1,NS
0.375,0.1428571428571428,-0.613,2.0,0.252037,0.15,1,NS
0.385,0.1428571428571428,-0.613,2.0,0.209911,0.15,1,NS
0.395,0.1428571428571428,-0.613,2.0,0.170562,0.15,1,NS
0.345,0.1428571428571428,-0.745,2.0,0.312292,0.15277455079220492,1,NS
0.355,0.1428571428571428,-0.745,2.0,0.251757,0.15,1,NS
0.365,0.1428571428571428,-0.745,2.0,0.196019,0.15,1,NS
0.345,0.1428571428571428,-1.248,2.0,0.19743,0.15,1,NS
0.355,0.1428571428571428,-1.248,2.0,0.18147,0.15,1,NS
0.365,0.1428571428571428,-1.248,2.0,0.167089,0.15,1,NS
0.375,0.1428571428571428,-1.248,2.0,0.154057,0.15,1,NS
0.405,0.2,-0.295,2.0,0.296263,0.15,1,NS
0.415,0.2,-0.295,2.0,0.256025,0.15,1,NS
0.425,0.2,-0.295,2.0,0.218333,0.15,1,NS
0.435,0.2,-0.295,2.0,0.182835,0.15,1,NS
0.405,0.2,-0.493,2.0,0.174319,0.15,1,NS
0.405,0.2,-0.865,2.0,0.340915,0.15,1,NS
0.415,0.2,-0.865,2.0,0.301746,0.15,1,NS
0.425,0.2,-0.865,2.0,0.263983,0.15,1,NS
0.435,0.2,-0.865,2.0,0.227517,0.15,1,NS
0.445,0.2,-0.865,2.0,0.192265,0.15,1,NS
0.455,0.2,-0.865,2.0,0.158172,0.15,1,NS
0.405,0.2,-1.041,2.0,0.19455,0.15,1,NS
0.415,0.2,-1.041,2.0,0.169552,0.15,1,NS
0.205,0.5,-0.686,2.0,0.926491,0.31596989833414507,1,NS
0.215,0.5,-0.686,2.0,0.919359,0.31222867646052305,1,NS
0.225,0.5,-0.686,2.0,0.911958,0.3083956782102499,1,NS
0.235,0.5,-0.686,2.0,0.904259,0.3044725718899652,1,NS
0.245,0.5,-0.686,2.0,0.896242,0.300463367736834,1,NS
0.255,0.5,-0.686,2.0,0.887883,0.29637351847290605,1,NS
0.265,0.5,-0.686,2.0,0.879166,0.2922111097837315,1,NS
0.275,0.5,-0.686,2.0,0.870077,0.2879847003394625,1,NS
0.285,0.5,-0.686,2.0,0.860602,0.28370435005716776,1,NS
0.295,0.5,-0.686,2.0,0.850736,0.2793826429140508,1,NS
0.205,0.5,-0.914,2.0,0.797584,0.2671215946643775,1,NS
0.215,0.5,-0.914,2.0,0.786656,0.2631786690942866,1,NS
0.225,0.5,-0.914,2.0,0.77532,0.25913111584678516,1,NS
0.235,0.5,-0.914,2.0,0.76357,0.25498182504837474,1,NS
0.245,0.5,-0.914,2.0,0.751403,0.25073533192952685,1,NS
0.255,0.5,-0.914,2.0,0.738825,0.24639901977331402,1,NS
0.265,0.5,-0.914,2.0,0.725845,0.24198067098685797,1,NS
0.275,0.5,-0.914,2.0,0.712479,0.23749090834322478,1,NS
0.285,0.5,-0.914,2.0,0.698749,0.23294080272483392,1,NS
0.295,0.5,-0.914,2.0,0.684681,0.2283431408264544,1,NS
0.205,0.5,-1.337,2.0,0.630778,0.19922773691572163,1,NS
0.215,0.5,-1.337,2.0,0.626478,0.19739361851022438,1,NS
0.225,0.5,-1.337,2.0,0.622021,0.19552528122902674,1,NS
0.235,0.5,-1.337,2.0,0.617384,0.19362138553124755,1,NS
0.245,0.5,-1.337,2.0,0.612545,0.19168060499761053,1,NS
0.255,0.5,-1.337,2.0,0.607481,0.1897024207633893,1,NS
0.265,0.5,-1.337,2.0,0.602172,0.18768675927608744,1,NS
0.275,0.5,-1.337,2.0,0.596598,0.18563371911740603,1,NS
0.285,0.5,-1.337,2.0,0.590741,0.1835429026720728,1,NS
0.295,0.5,-1.337,2.0,0.584583,0.1814148771022101,1,NS
