# Q2     GEp/GD  dGEp/GD  GMp/mup/GD  dGMp/mup/GD
100.0      -0.5      1.0      0.5      1.0
200.0      -0.5      2.0      0.5      2.0
400.0      -0.5      2.0      0.5      2.0
999.0      -0.5      4.0      0.5      4.0
