y,xB,t,Q,phi,f,delta f,pol,comment
0.7459392262577286,0.451,-0.34,1.905255888325765,0.130201562198777,0.0266,0.0062481997407253,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,0.3906046865963309,0.0344,0.0053535035257296,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,0.6515314097694832,0.0242,0.0050328918128646,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,0.9129817317182338,0.0191,0.0034481879299133,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,1.1747811195173832,0.0203,0.0049819674828324,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,1.436755040241732,0.0223,0.0042544094772365,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,1.6989034938912804,0.0108,0.0037121422386541,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,4.322133359638758,0.011,0.0075213030785895,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,4.584281813288307,0.0133,0.0039812058474788,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,4.846430266937855,0.0166,0.0042047592083257,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,5.108404187662203,0.0228,0.0066068146636635,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,5.370203575461352,0.0214,0.0068963758598266,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,5.631653897410104,0.0265,0.0042438190347845,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,5.892580620583256,0.0259,0.0040804411526206,UU,RQncbKtk_UU
0.7459392262577286,0.451,-0.34,1.905255888325765,6.152983744980809,0.0227,0.0049517673612559,UU,RQncbKtk_UU
0.7355650794427887,0.475,-0.45,1.94164878389476,0.1300270292735775,0.0203,0.0028319604517012,UU,RQncbKtk_UU
