x = [0.39698492 0.40703518 0.41708543 0.42713568 0.43718593 0.44723618
 0.45728643 0.46733668 0.47738693 0.48743719 0.49748744 0.50753769
 0.51758794 0.52763819 0.53768844 0.54773869 0.55778894 0.5678392
 0.57788945 0.5879397  0.59798995 0.6080402  0.61809045 0.6281407
 0.63819095 0.64824121 0.65829146 0.66834171 0.67839196 0.68844221
 0.69849246 0.70854271]


Q = 100
dat = [0.44461465166043024, 0.409504839867653, 0.37653691907748005, 0.34543707223927617, 0.31597832088670247, 0.2879698264975637, 0.2612551229007961, 0.2357023015298609, 0.21121153447711719, 0.18768877522240904, 0.1650655418049431, 0.14328405721510673, 0.12229987061300703, 0.10207652109612166, 0.08259192747727806, 0.06382986769410419, 0.045790901766739556, 0.028473865570652384, 0.011898984201024797, -0.003913751796048435, -0.018936385049394586, -0.03313585063215813, -0.04647686861985349, -0.05892670614908982, -0.07045533757701423, -0.08103822042725968, -0.09065931542141185, -0.09931572469627938, -0.10701191425066858, -0.11376907222720205, -0.11961866120590467, -0.1246044482757328]

err = [0.17074080777710615, 0.16473407028935233, 0.1589859656046188, 0.15351866593318803, 0.14833571070630372, 0.1434232475829301, 0.13875640945421294, 0.1343066743785217, 0.1300380528741837, 0.1259180707570015, 0.12191670555923963, 0.11800943326712293, 0.11417848225057188, 0.11042473881078836, 0.10674410249893135, 0.10314482929241159, 0.09965253749542134, 0.09627462608068901, 0.09303021457647809, 0.08993944985226322, 0.08701223555763099, 0.08425469376446378, 0.08166510149074677, 0.07923771296845927, 0.07695508449280727, 0.07480200434264721, 0.07275646412623141, 0.07079122424663035, 0.06889265435281007, 0.06703583796067183, 0.06521010470965158, 0.06340523338823902]

Q = 200
dat = [0.413332679782795, 0.3933264082560917, 0.3739896148390925, 0.3551968116422633, 0.3368423307391799, 0.31884073445682004, 0.30112419674354973, 0.2836384493051896, 0.266345004077101, 0.24921591572990068, 0.23223395202024322, 0.21539184683302065, 0.1986897663422833, 0.18213672510282905, 0.16574555632611027, 0.1495453494696765, 0.13355906106358387, 0.11782185095045805, 0.10237409797731546, 0.08725785073199335, 0.07251890921036326, 0.058203976468992884, 0.04435900057276545, 0.031030355451767015, 0.01825763216724948, 0.006078017189621029, -0.005478174931809503, -0.016388066009719517, -0.026635317688766622, -0.03621306333908183, -0.04512076474956639, -0.05336673021298151]

err = [0.10064334149514827, 0.09762615751940705, 0.09461243801628651, 0.09161107527933339, 0.0886220352614765, 0.08564307565537328, 0.08267175269339759, 0.07970305876693581, 0.0767343085771175, 0.07376651717638263, 0.07080224432060138, 0.0678537320948749, 0.06493243419080623, 0.0620614669615217, 0.059257915703143885, 0.056571688220041945, 0.05401499900802939, 0.05162615230190862, 0.04943640838123288, 0.04746993189054537, 0.045743247606697755, 0.04426443097238637, 0.04302754958258065, 0.04202004637010935, 0.04121365117832149, 0.040575962227876856, 0.040069649815752555, 0.03965368976259074, 0.039292426129352194, 0.0389508879692971, 0.03860252603620121, 0.03822186430021222]

Q = 300
dat = [0.34643467752467433, 0.3366169794994885, 0.3265073724109036, 0.31607092415414356, 0.30528088213693755, 0.2941198278774256, 0.28257815924977336, 0.27065562506316176, 0.2583600119927883, 0.2457085333733379, 0.23272596938111767, 0.21944581662339604, 0.20590891509114193, 0.19216339741425292, 0.17826291789527113, 0.16426882331295603, 0.1502447597960372, 0.13625864541575075, 0.12238112426074078, 0.10868316332031759, 0.09523502017828298, 0.08210035091937443, 0.0693591423057152, 0.057056557472814136, 0.045250843721761407, 0.0339886566712367, 0.023308894566926218, 0.013241364904767008, 0.0038076161090096774, -0.0049797912474697425, -0.013116000811217698, -0.02060418738835895]

err = [0.08751095534483967, 0.08482466692436981, 0.0821650820316403, 0.0795437511118365, 0.07696793638308594, 0.07444119723466062, 0.07196143471470262, 0.06952558915293, 0.06713154630856201, 0.06477699967087185, 0.06246121682221795, 0.06018753646485149, 0.05795961385002041, 0.055789755857789315, 0.05368754781401608, 0.051668821560980134, 0.04974893010018793, 0.047943092596992996, 0.04626368433334597, 0.044722355320382316, 0.0433244945093705, 0.042003831054209434, 0.040948212448820645, 0.03995485450783781, 0.03907126977862522, 0.03827867584472993, 0.03755600257072091, 0.036883443111946516, 0.03624055106760364, 0.0356108112450563, 0.03497956904852512, 0.034335291703400994]

Q = 110
dat = [0.057426259195702135, 0.03507024710746031, 0.015457778890929634, -0.0016993305236289859, -0.016643939900902956, -0.02958866344888727, -0.04071804635039275, -0.05019680341677573, -0.05817227034684366, -0.06478011678376357, -0.07014734825299133, -0.07439420490341779, -0.07763734085985306, -0.07999078120525593, -0.0815625138018008, -0.08245899249661791, -0.0827774510754263, -0.0826151803544382, -0.08205775492828994, -0.08118497381892892, -0.08006894506293352, -0.07877143798739504, -0.07734865035477706, -0.07584788983197724, -0.0743095867851176, -0.07276751948248115, -0.07125222596733545, -0.06979049302754849, -0.06840370191862764, -0.06711451784401955, -0.06594360441599283, -0.0649097916239687]

err = [0.1580721631887154, 0.15105189399044947, 0.14439118438490456, 0.13811473924447193, 0.13224459355127363, 0.12678319208095912, 0.12171881532161205, 0.11702779459326722, 0.11267572702347735, 0.10862870248665782, 0.10484933681893908, 0.10130461922570663, 0.09796624615579626, 0.0948156627040548, 0.09183870908592366, 0.08902820776486822, 0.08638394377362694, 0.08390784010955964, 0.08159899700658604, 0.07945804285976218, 0.07747992488119494, 0.07565169362112237, 0.07396089538510728, 0.07238504792920354, 0.07090143356017611, 0.06948310505836307, 0.06810319382678266, 0.06673814691155724, 0.06536631498784995, 0.06396886225086561, 0.06253820664881503, 0.061064282739096656]

Q = 220
dat = [0.24638469470046442, 0.22582257775221187, 0.20612059458748022, 0.18728153098854922, 0.1693109404892538, 0.15221599451436651, 0.13600237817891733, 0.1206729389021897, 0.10622629569177862, 0.09265628969957711, 0.07995056596969909, 0.0680910076366185, 0.0570569256329625, 0.04682017959829394, 0.037352091681733375, 0.02862143263029778, 0.020596558290803372, 0.013246303061362118, 0.0065418097940638156, 0.0004550243787925761, -0.005039379171597999, -0.009964303530980989, -0.014341035392830138, -0.018189697394880154, -0.021529900221332717, -0.024381535527039016, -0.026765430587220175, -0.028705272456112214, -0.030226016368178586, -0.031356854253317384, -0.03212870866873598, -0.03257588461530323]

err = [0.1042407933130008, 0.10067770426138423, 0.09726868618673612, 0.09402417503150777, 0.09094374865282666, 0.08802122019508005, 0.08524473519408654, 0.08259491522471096, 0.08005712404025056, 0.07761188098884986, 0.07524584029567793, 0.07294776444371923, 0.07071300721438886, 0.06854160074641936, 0.06643858739914395, 0.06441133624313099, 0.062473238189145915, 0.060631469606817784, 0.058900351113208786, 0.05728546763810484, 0.055789468736753806, 0.05441089681701597, 0.05314414704216503, 0.051975350156992055, 0.050890029989881555, 0.04986903979952621, 0.0488927400281724, 0.047942618843831275, 0.0470006515113207, 0.04605097131077046, 0.04508355919909036, 0.044088986909666804]


Q = 120 
dat = [0.17589496203022945, 0.15806564279570137, 0.14132538547473283, 0.12558923138966202, 0.11078942354050758, 0.09686721531104267, 0.08377526944884743, 0.07147272556018412, 0.059923070708412386, 0.04909386400205859, 0.038954539271195444, 0.02947611419566986, 0.020630758834070607, 0.012391326525688152, 0.004733046824119284, -0.0023678493209624237, -0.008931114248169463, -0.014975500707025023, -0.020515370708250026, -0.025562534399049104, -0.030126550380889884, -0.034212611485355794, -0.037827729960872025, -0.040976223224225526, -0.04366308774389433, -0.045896432694454675, -0.0476852888566838, -0.04904412163171104, -0.0499900793196511, -0.05054633242589044, -0.05073964996806721, -0.05060208238030131]

err = [0.10027121985550141, 0.09691927136353914, 0.09372080856915423, 0.09068407503080292, 0.08781315392230389, 0.08510523912295025, 0.08254855745313197, 0.08012595490891072, 0.07782117596554922, 0.07561269358831407, 0.07348357243215602, 0.07142017811140014, 0.06941039060377852, 0.06744954900973227, 0.06553387930518921, 0.06366675389691924, 0.061850052529709425, 0.060089513630803726, 0.058391474120401694, 0.05675703711152878, 0.055189882394836055, 0.05368469014587119, 0.05224124755863171, 0.050851306584198085, 0.04950505404024297, 0.048193641446449095, 0.04690640076939371, 0.045633588068607206, 0.0443691114979181, 0.04310664750061399, 0.04184497879335309, 0.04058257843788325]






