"x","t","mu","f","delta f","GPD type","flavor"
0.0005000000000000001,0,2,1083.610048073511,35.54947304478823,0,"u"
0.0005627165544531726,0,2,942.9963877225813,30.874774955278074,0,"u"
0.0006332998413113012,0,2,821.113908432843,26.821476369859393,0,"u"
0.0007127366092768726,0,2,715.0944198158421,23.297837679162843,0,"u"
0.0008021373780098384,0,2,623.2031777684958,20.241667838162567,0,"u"
0.0009027519631035965,0,2,543.2439316522054,17.583902107957336,0,"u"
0.0010159869484069875,0,2,473.92441933410163,15.277944872804579,0,"u"
0.0011434253499539462,0,2,413.6069436259691,13.272510211467827,0,"u"
0.0012868487464009965,0,2,361.28700562829397,11.53165494855369,0,"u"
0.0014482621853543062,0,2,315.76221912412495,10.017562075367254,0,"u"
0.0016299222137747954,0,2,276.246960409514,8.702360180619385,0,"u"
0.0018343684243240803,0,2,241.86067914887505,7.558119422545021,0,"u"
0.002064458958666685,0,2,211.99147801379135,6.5633035552200925,0,"u"
0.002323410464061803,0,2,185.99291405224935,5.697245475182992,0,"u"
0.0026148430618346086,0,2,163.39029945135172,4.943393844714859,0,"u"
0.002942830956382712,0,2,143.70801530948205,4.286452158382775,0,"u"
0.0033119593922276316,0,2,126.57988812135386,3.7138180712144013,0,"u"
0.003727388755366312,0,2,111.65442357085693,3.2141940182520816,0,"u"
0.004194926715054461,0,2,98.65094367963188,2.778093324613327,0,"u"
0.004721109414558027,0,2,87.30799328335712,2.397199000695959,0,"u"
0.005313292845913059,0,2,77.4120091624082,2.0644624174295547,0,"u"
0.005979755686105776,0,2,68.76738308323398,1.773805993534574,0,"u"
0.006729815032314418,0,2,61.212691170330075,1.5200485927755458,0,"u"
0.007573956654182276,0,2,54.600270845821335,1.2987679059702344,0,"u"
0.008523981584038259,0,2,48.80901946234793,1.1061759782882719,0,"u"
0.009593171094384616,0,2,43.7267648876424,0.9390635058633172,0,"u"
0.010796472369023763,0,2,39.26333579110846,0.7946371005365778,0,"u"
0.012150707463491865,0,2,35.332856790423484,0.6705271048535404,0,"u"
0.013674808476049191,0,2,31.86864993970014,0.5645949430164772,0,"u"
0.015390082216898894,0,2,28.804638592709367,0.47497823466784295,0,"u"
0.017320508075688777,0,2,26.091531372056938,0.39989432061895047,0,"u"
0.019493073251459884,0,2,23.679373907375798,0.3376753466391016,0,"u"
0.02193815003152962,0,2,21.530634039948154,0.28663755945232483,0,"u"
0.024689920393638223,0,2,19.608946451104114,0.24509986512041732,0,"u"
0.027786853867262446,0,2,17.88497549091166,0.2113895906800546,0,"u"
0.03127224533455947,0,2,16.332805693678157,0.18391319752989757,0,"u"
0.03519482028935524,0,2,14.929864866659374,0.16125830526390514,0,"u"
0.03960941601564918,0,2,13.65762895635014,0.14228256202851464,0,"u"
0.04457774820845686,0,2,12.499724043002473,0.1261572125745171,0,"u"
0.05016927375428786,0,2,11.442553560241473,0.1123525551106646,0,"u"
0.05646216173286173,0,2,10.474488052492175,0.10053876073150363,0,"u"
0.06354438621458745,0,2,9.585622716692237,0.09048890521634914,0,"u"
0.0715149561310287,0,2,8.767569865227939,0.08196125103159635,0,"u"
0.08048529941184451,0,2,8.012843880130433,0.07463528433127674,0,"u"
0.09058082073833028,0,2,7.314676768683634,0.06812999491900242,0,"u"
0.10194265469082738,0,2,6.6667387823347095,0.062077625203704835,0,"u"
0.11472963879886394,0,2,6.062890565843402,0.05621514987485505,0,"u"
0.12912053407710747,0,2,5.497054339801102,0.050438847152072704,0,"u"
0.14531652409004672,0,2,4.963216192579536,0.04479355843871919,0,"u"
0.1635440274821252,0,2,4.455655351199943,0.039403756552296054,0,"u"
0.1840578632922729,0,2,3.9692782562018656,0.034384097907050666,0,"u"
0.2071448133036819,0,2,3.5000529852465605,0.02977761065481026,0,"u"
0.23312763123018715,0,2,3.0455308330897433,0.025554475038402212,0,"u"
0.2623695547873617,0,2,2.6051738483237936,0.021666634386671685,0,"u"
0.2952793837267141,0,2,2.180530174898071,0.01808664623825164,0,"u"
0.3323171948235057,0,2,1.7751645907990485,0.014801764876244405,0,"u"
0.3740007737132536,0,2,1.394415558867264,0.011797204902770505,0,"u"
0.4209128534934858,0,2,1.0450865599444503,0.009086635919848303,0,"u"
0.47370926128581464,0,2,0.7351519056640918,0.00676811637308361,0,"u"
0.5331280866466229,0,2,0.4732631313435617,0.004983476620492971,0,"u"
0.6000000000000001,0,2,0.2675717105829713,0.0036967771460214727,0,"u"
-0.0005000000000000001,0,2,-1040.0768068898399,35.93716240969911,0,"u"
-0.0005627165544531726,0,2,-901.2410414868544,31.24291893118366,0,"u"
-0.0006332998413113012,0,2,-781.0693431104999,27.169684979962252,0,"u"
-0.0007127366092768726,0,2,-676.6884722980309,23.62606378746456,0,"u"
-0.0008021373780098384,0,2,-586.3744769582833,20.54982497064323,0,"u"
-0.0009027519631035965,0,2,-507.924281039077,17.87216000061348,0,"u"
-0.0010159869484069875,0,2,-440.056965000879,15.546491061661806,0,"u"
-0.0011434253499539462,0,2,-381.1296691376429,13.521742040053201,0,"u"
-0.0012868487464009965,0,2,-330.1472342933849,11.762016073146926,0,"u"
-0.0014482621853543062,0,2,-285.9038078255779,10.229630130692797,0,"u"
-0.0016299222137747954,0,2,-247.62093458014417,8.896796090387284,0,"u"
-0.0018343684243240803,0,2,-214.41526676221923,7.735689512021774,0,"u"
-0.002064458958666685,0,2,-185.68083701425846,6.724846989958238,0,"u"
-0.002323410464061803,0,2,-160.76986416795717,5.843638380504984,0,"u"
-0.0026148430618346086,0,2,-139.2123212222181,5.075587651852704,0,"u"
-0.002942830956382712,0,2,-120.53212035522046,4.405433378051287,0,"u"
-0.0033119593922276316,0,2,-104.36675351615843,3.8206194013336154,0,"u"
-0.003727388755366312,0,2,-90.36482212704277,3.309838090483063,0,"u"
-0.004194926715054461,0,2,-78.24856512500993,2.8636231315256353,0,"u"
-0.004721109414558027,0,2,-67.756874319977,2.473634332426805,0,"u"
-0.005313292845913059,0,2,-58.6786411640546,2.1328128795717975,0,"u"
-0.005979755686105776,0,2,-50.8187431495796,1.8350263580486839,0,"u"
-0.006729815032314418,0,2,-44.01801902734806,1.575056124556126,0,"u"
-0.007573956654182276,0,2,-38.1293649202817,1.3483989601393802,0,"u"
-0.008523981584038259,0,2,-33.03390406108619,1.1512088410215782,0,"u"
-0.009593171094384616,0,2,-28.619752886413796,0.9801728734118296,0,"u"
-0.010796472369023763,0,2,-24.79908200370835,0.8324198227836659,0,"u"
-0.012150707463491865,0,2,-21.485977625836476,0.7054403501223633,0,"u"
-0.013674808476049191,0,2,-18.616351048600862,0.5970002764814315,0,"u"
-0.015390082216898894,0,2,-16.12366851133909,0.5050727060425235,0,"u"
-0.017320508075688777,0,2,-13.961456577019755,0.4277624083806397,0,"u"
-0.019493073251459884,0,2,-12.079367734168029,0.36323897680829204,0,"u"
-0.02193815003152962,0,2,-10.442291120289681,0.3097243114403666,0,"u"
-0.024689920393638223,0,2,-9.014227377906224,0.2654555430480923,0,"u"
-0.027786853867262446,0,2,-7.767305837959487,0.22874828966045044,0,"u"
-0.03127224533455947,0,2,-6.676917375528864,0.19805109570829685,0,"u"
-0.03519482028935524,0,2,-5.721135259376066,0.17202472642101788,0,"u"
-0.03960941601564918,0,2,-4.883273427706558,0.14962263358970937,0,"u"
-0.04457774820845686,0,2,-4.147961787680519,0.13009734161653452,0,"u"
-0.05016927375428786,0,2,-3.50280070034055,0.11298221448314015,0,"u"
-0.05646216173286173,0,2,-2.9377302549242112,0.09800714351684632,0,"u"
-0.06354438621458745,0,2,-2.4441774736206656,0.08500028873080454,0,"u"
-0.0715149561310287,0,2,-2.0151171353718347,0.07377150922431816,0,"u"
-0.08048529941184451,0,2,-1.6446045456025937,0.06404413802227503,0,"u"
-0.09058082073833028,0,2,-1.327393626941215,0.0554520032428788,0,"u"
-0.10194265469082738,0,2,-1.0586520503887884,0.04761011532446682,0,"u"
-0.11472963879886394,0,2,-0.8336803493207534,0.04022984503083031,0,"u"
-0.12912053407710747,0,2,-0.6477306801479988,0.033213118675233695,0,"u"
